,age,time_since_last_disturbance,last_disturbance_type,identifier,timestep,area,Species
6269,27,1,2,30,147,305.999999999989,CF
6270,27,3,2,31,147,3.2741809263825417e-11,CF
6271,26,2,2,32,147,305.9999999999818,CF
6272,27,3,2,33,147,4.409361764601273e-12,CF
6273,27,1,2,34,147,1.0550138540565968e-10,CF
6274,27,1,2,35,147,3.974820472762943e-12,CF
6275,26,2,2,36,147,9.822542779147625e-11,CF
6276,26,2,2,37,147,3.637978807091713e-12,CF
6277,26,2,2,38,147,305.9999999999953,CF
6278,27,1,2,39,147,3.635092227227601e-12,CF
6279,26,2,2,40,147,3.637978807091713e-12,CF
6280,27,1,2,41,147,305.9999999999966,CF
6281,27,1,2,42,147,7.270184454455116e-12,CF
6282,26,2,2,43,147,305.9999999999893,CF
6283,27,1,2,44,147,305.9999999999709,CF
6284,27,1,2,45,147,305.99999999997453,CF
6285,26,2,2,46,147,305.9999999999827,CF
6286,27,1,2,47,147,306.0000000000002,CF
6287,27,1,2,48,147,4.722222612940658e-12,CF
6288,27,1,2,49,147,3.2274183325852877e-12,CF
6289,26,2,2,50,147,3.637978807091713e-12,CF
6290,27,1,2,51,147,3.6350922272276443e-12,CF
6291,26,2,2,52,147,305.99999999996845,CF
6292,26,2,2,53,147,305.99999999998624,CF
6293,27,1,2,54,147,305.9999999999782,CF
6294,26,2,2,55,147,305.9999999999817,CF
6295,25,1,2,56,147,305.999999999993,CF
6296,27,1,2,57,147,3.637978807091713e-12,CF
6297,26,2,2,58,147,305.99999999991167,CF
6298,27,1,2,59,147,305.9999999999345,CF
6299,26,2,2,60,147,305.9999999999673,CF
6300,27,1,2,61,147,1.8990808925422526e-11,CF
6301,26,2,2,62,147,1.1245004927218105e-11,CF
6302,27,2,2,63,147,1.4551915228366852e-11,CF
6303,27,2,2,64,147,3.637978807091712e-12,CF
6304,26,2,2,65,147,306.00000000000034,CF
6305,26,2,2,66,147,1.4166667838821399e-11,CF
6306,27,1,2,67,147,3.6350922272274282e-12,CF
6307,26,1,2,68,147,3.637978807091712e-12,CF
6308,27,3,2,69,147,3.637978807091713e-12,CF
6309,26,1,2,70,147,305.99999999989086,CF
6310,27,2,2,71,147,305.99999999997453,CF
6311,27,3,2,72,147,305.9999999998872,CF
6312,178,178,1,1,148,6752.6,MF
6313,198,198,1,2,148,26295.0,BL
6314,27,1,2,3,148,18328.000000000127,CF
6315,28,2,2,4,148,19246.000000000004,CF
6316,27,2,2,5,148,2.9103830456733704e-11,CF
6317,28,1,2,6,148,3.637978807091713e-12,CF
6318,27,2,2,7,148,3.637978807091713e-12,CF
6319,28,1,2,8,148,3.637978807091713e-12,CF
6320,27,2,2,9,148,3.637978807091713e-12,CF
6321,28,1,2,10,148,3.637978807091713e-12,CF
6322,27,2,2,11,148,1.0913936421275137e-11,CF
6323,28,1,2,12,148,3.637978807091713e-12,CF
6324,27,2,2,13,148,7.275957614183426e-12,CF
6325,28,1,2,14,148,3.637978807091713e-12,CF
6326,27,2,2,15,148,3.637978807091713e-12,CF
6327,28,1,2,16,148,1.0913936421275139e-11,CF
6328,27,2,2,17,148,1.4551915228366852e-11,CF
6329,28,2,2,18,148,3.637978807091713e-12,CF
6330,27,2,2,19,148,1.4551915228366852e-11,CF
6331,27,2,2,20,148,3.637978807091713e-12,CF
6332,26,2,2,21,148,3.637978807091713e-12,CF
6333,28,1,2,22,148,7.275957614183426e-12,CF
6334,27,2,2,23,148,7.275957614183426e-12,CF
6335,28,1,2,24,148,1.4551915228366852e-11,CF
6336,27,3,2,25,148,3.637978807091713e-12,CF
6337,28,1,2,26,148,1.8189894035458565e-11,CF
6338,26,2,2,27,148,3.637978807091713e-12,CF
6339,28,1,2,28,148,4.552358490173006e-12,CF
6340,27,3,2,29,148,305.99999999997453,CF
6341,28,2,2,30,148,305.999999999989,CF
6342,28,1,2,31,148,3.2741809263825417e-11,CF
6343,27,1,2,32,148,305.99999999996,CF
6344,28,1,2,33,148,4.409361764601273e-12,CF
6345,28,2,2,34,148,1.0550138540565968e-10,CF
6346,28,2,2,35,148,3.974820472762943e-12,CF
6347,27,1,2,36,148,9.822542779147625e-11,CF
6348,27,1,2,37,148,3.637978807091713e-12,CF
6349,27,1,2,38,148,305.9999999999953,CF
6350,28,2,2,39,148,3.635092227227601e-12,CF
6351,27,1,2,40,148,3.637978807091713e-12,CF
6352,28,2,2,41,148,305.9999999999966,CF
6353,28,2,2,42,148,7.270184454455116e-12,CF
6354,27,1,2,43,148,305.9999999999893,CF
6355,28,2,2,44,148,305.9999999999709,CF
6356,28,2,2,45,148,305.99999999997453,CF
6357,27,1,2,46,148,305.9999999999827,CF
6358,28,2,2,47,148,306.0000000000002,CF
6359,28,2,2,48,148,4.722222612940658e-12,CF
6360,28,2,2,49,148,3.2274183325852877e-12,CF
6361,27,1,2,50,148,3.637978807091713e-12,CF
6362,28,2,2,51,148,3.6350922272276443e-12,CF
6363,27,1,2,52,148,305.99999999996845,CF
6364,27,1,2,53,148,305.99999999998624,CF
6365,28,2,2,54,148,305.9999999999782,CF
6366,27,1,2,55,148,305.9999999999817,CF
6367,26,2,2,56,148,305.999999999993,CF
6368,28,2,2,57,148,3.637978807091713e-12,CF
6369,27,1,2,58,148,305.99999999991167,CF
6370,28,2,2,59,148,305.9999999999345,CF
6371,27,1,2,60,148,305.9999999999673,CF
6372,28,2,2,61,148,1.8990808925422526e-11,CF
6373,27,1,2,62,148,1.1245004927218105e-11,CF
6374,28,1,2,63,148,1.4551915228366852e-11,CF
6375,28,1,2,64,148,3.637978807091712e-12,CF
6376,27,1,2,65,148,306.00000000000034,CF
6377,27,1,2,66,148,1.4166667838821399e-11,CF
6378,28,2,2,67,148,3.6350922272274282e-12,CF
6379,27,2,2,68,148,3.637978807091712e-12,CF
6380,28,1,2,69,148,3.637978807091713e-12,CF
6381,27,2,2,70,148,305.99999999989086,CF
6382,28,1,2,71,148,305.99999999997453,CF
6383,28,1,2,72,148,305.9999999998872,CF
6384,27,3,2,73,148,2.1844526187918356e-11,CF
6385,179,179,1,1,149,6752.6,MF
6386,199,199,1,2,149,26295.0,BL
6387,28,2,2,3,149,18328.000000000127,CF
6388,29,1,2,4,149,19246.000000000004,CF
6389,28,1,2,5,149,2.9103830456733704e-11,CF
6390,29,2,2,6,149,3.637978807091713e-12,CF
6391,28,1,2,7,149,3.637978807091713e-12,CF
6392,29,2,2,8,149,3.637978807091713e-12,CF
6393,28,1,2,9,149,3.637978807091713e-12,CF
6394,29,2,2,10,149,3.637978807091713e-12,CF
6395,28,1,2,11,149,1.0913936421275137e-11,CF
6396,29,2,2,12,149,3.637978807091713e-12,CF
6397,28,1,2,13,149,7.275957614183426e-12,CF
6398,29,2,2,14,149,3.637978807091713e-12,CF
6399,28,1,2,15,149,3.637978807091713e-12,CF
6400,29,2,2,16,149,1.0913936421275139e-11,CF
