,identifier,timestep,area,Species
426,8,28,305.99999999999716,CF
427,9,28,305.99999999999716,CF
428,10,28,305.9999999999996,CF
429,11,28,305.9999999999996,CF
430,12,28,306.0,CF
431,13,28,306.0,CF
432,14,28,306.0000000000002,CF
433,15,28,306.0000000000002,CF
434,16,28,306.0000000000009,CF
435,17,28,306.0000000000009,CF
436,18,28,305.9999999999999,CF
437,19,28,305.9999999999999,CF
438,20,28,305.9999999999989,CF
439,21,28,306.0000000000003,CF
440,1,29,6752.6,MF
441,2,29,26295.0,BL
442,3,29,19246.000000000007,CF
443,4,29,19858.000000000007,CF
444,5,29,305.99999999999756,CF
445,6,29,305.9999999999967,CF
446,7,29,305.9999999999967,CF
447,8,29,305.99999999999716,CF
448,9,29,305.99999999999716,CF
449,10,29,305.9999999999996,CF
450,11,29,305.9999999999996,CF
451,12,29,306.0,CF
452,13,29,306.0,CF
453,14,29,306.0000000000002,CF
454,15,29,306.0000000000002,CF
455,16,29,306.0000000000009,CF
456,17,29,306.0000000000009,CF
457,18,29,305.9999999999999,CF
458,19,29,305.9999999999999,CF
459,20,29,305.9999999999989,CF
460,21,29,306.0000000000003,CF
461,1,30,6752.6,MF
462,2,30,26295.0,BL
463,3,30,19246.000000000007,CF
464,4,30,19858.000000000007,CF
465,5,30,305.99999999999756,CF
466,6,30,305.9999999999967,CF
467,7,30,305.9999999999967,CF
468,8,30,305.99999999999716,CF
469,9,30,305.99999999999716,CF
470,10,30,305.9999999999996,CF
471,11,30,305.9999999999996,CF
472,12,30,306.0,CF
473,13,30,306.0,CF
474,14,30,306.0000000000002,CF
475,15,30,306.0000000000002,CF
476,16,30,306.0000000000009,CF
477,17,30,306.0000000000009,CF
478,18,30,305.9999999999999,CF
479,19,30,305.9999999999999,CF
480,20,30,305.9999999999989,CF
481,21,30,306.0000000000003,CF
482,1,31,6752.6,MF
483,2,31,26295.0,BL
484,3,31,19246.000000000007,CF
485,4,31,19858.000000000007,CF
486,5,31,305.99999999999756,CF
487,6,31,305.9999999999967,CF
488,7,31,305.9999999999967,CF
489,8,31,305.99999999999716,CF
490,9,31,305.99999999999716,CF
491,10,31,305.9999999999996,CF
492,11,31,305.9999999999996,CF
493,12,31,306.0,CF
494,13,31,306.0,CF
495,14,31,306.0000000000002,CF
496,15,31,306.0000000000002,CF
497,16,31,306.0000000000009,CF
498,17,31,306.0000000000009,CF
499,18,31,3.637978807091713e-12,CF
500,19,31,305.9999999999999,CF
501,20,31,305.9999999999989,CF
502,21,31,306.0000000000003,CF
503,22,31,305.99999999999625,CF
504,1,32,6752.6,MF
505,2,32,26295.0,BL
506,3,32,19246.000000000007,CF
507,4,32,19858.000000000007,CF
508,5,32,305.99999999999756,CF
509,6,32,305.9999999999967,CF
510,7,32,305.9999999999967,CF
511,8,32,305.99999999999716,CF
512,9,32,305.99999999999716,CF
513,10,32,305.9999999999996,CF
514,11,32,305.9999999999996,CF
515,12,32,306.0,CF
516,13,32,306.0,CF
517,14,32,306.0000000000002,CF
518,15,32,3.637978807091713e-12,CF
519,16,32,306.0000000000009,CF
520,17,32,306.0000000000009,CF
521,18,32,3.637978807091713e-12,CF
522,19,32,305.9999999999999,CF
523,20,32,305.9999999999989,CF
524,21,32,306.0000000000003,CF
525,22,32,305.99999999999625,CF
526,23,32,305.9999999999966,CF
527,1,33,6752.6,MF
528,2,33,26295.0,BL
529,3,33,19246.000000000007,CF
530,4,33,19858.000000000007,CF
531,5,33,305.99999999999756,CF
532,6,33,305.9999999999967,CF
533,7,33,305.9999999999967,CF
534,8,33,305.99999999999716,CF
535,9,33,305.99999999999716,CF
536,10,33,305.9999999999996,CF
537,11,33,305.9999999999996,CF
538,12,33,306.0,CF
539,13,33,306.0,CF
540,14,33,306.0000000000002,CF
541,15,33,3.637978807091713e-12,CF
542,16,33,306.0000000000009,CF
543,17,33,306.0000000000009,CF
544,18,33,3.637978807091713e-12,CF
545,19,33,305.9999999999999,CF
546,20,33,305.9999999999989,CF
547,21,33,306.0000000000003,CF
548,22,33,305.99999999999625,CF
549,23,33,305.9999999999966,CF
550,1,34,6752.6,MF
551,2,34,26295.0,BL
552,3,34,19246.000000000007,CF
553,4,34,19858.000000000007,CF
554,5,34,305.99999999999756,CF
555,6,34,305.9999999999967,CF
556,7,34,305.9999999999967,CF
557,8,34,305.99999999999716,CF
558,9,34,305.99999999999716,CF
559,10,34,3.637978807091713e-12,CF
560,11,34,305.9999999999996,CF
561,12,34,306.0,CF
562,13,34,306.0,CF
563,14,34,306.0000000000002,CF
564,15,34,3.637978807091713e-12,CF
565,16,34,306.0000000000009,CF
566,17,34,306.0000000000009,CF
567,18,34,3.637978807091713e-12,CF
568,19,34,305.9999999999999,CF
569,20,34,305.9999999999989,CF
570,21,34,306.0000000000003,CF
571,22,34,305.99999999999625,CF
572,23,34,305.9999999999966,CF
573,24,34,305.99999999999596,CF
574,1,35,6752.6,MF
575,2,35,26295.0,BL
576,3,35,19246.000000000007,CF
577,4,35,19858.000000000007,CF
578,5,35,305.99999999999756,CF
579,6,35,305.9999999999967,CF
580,7,35,305.9999999999967,CF
581,8,35,305.99999999999716,CF
582,9,35,3.637978807091713e-12,CF
583,10,35,3.637978807091713e-12,CF
584,11,35,305.9999999999996,CF
585,12,35,306.0,CF
586,13,35,306.0,CF
587,14,35,306.0000000000002,CF
588,15,35,3.637978807091713e-12,CF
589,16,35,306.0000000000009,CF
590,17,35,306.0000000000009,CF
591,18,35,3.637978807091713e-12,CF
592,19,35,305.9999999999999,CF
593,20,35,305.9999999999989,CF
594,21,35,306.0000000000003,CF
595,22,35,305.99999999999625,CF
596,23,35,305.9999999999966,CF
597,24,35,305.99999999999596,CF
598,25,35,305.9999999999935,CF
599,1,36,6752.6,MF
600,2,36,26295.0,BL
601,3,36,19246.000000000007,CF
602,4,36,19858.000000000007,CF
603,5,36,305.99999999999756,CF
604,6,36,305.9999999999967,CF
605,7,36,305.9999999999967,CF
606,8,36,305.99999999999716,CF
607,9,36,3.637978807091713e-12,CF
608,10,36,3.637978807091713e-12,CF
609,11,36,305.9999999999996,CF
610,12,36,3.637978807091713e-12,CF
611,13,36,306.0,CF
612,14,36,306.0000000000002,CF
613,15,36,3.637978807091713e-12,CF
614,16,36,306.0000000000009,CF
615,17,36,306.0000000000009,CF
616,18,36,3.637978807091713e-12,CF
617,19,36,305.9999999999999,CF
618,20,36,305.9999999999989,CF
619,21,36,306.0000000000003,CF
620,22,36,305.99999999999625,CF
621,23,36,305.9999999999966,CF
622,24,36,305.99999999999596,CF
623,25,36,305.9999999999935,CF
624,26,36,305.99999999999636,CF
625,1,37,6752.6,MF
626,2,37,26295.0,BL
627,3,37,19246.000000000007,CF
628,4,37,19858.000000000007,CF
629,5,37,305.99999999999756,CF
630,6,37,305.9999999999967,CF
631,7,37,305.9999999999967,CF
632,8,37,305.99999999999716,CF
633,9,37,3.637978807091713e-12,CF
634,10,37,3.637978807091713e-12,CF
635,11,37,305.9999999999996,CF
636,12,37,3.637978807091713e-12,CF
637,13,37,306.0,CF
638,14,37,306.0000000000002,CF
639,15,37,3.637978807091713e-12,CF
640,16,37,306.0000000000009,CF
641,17,37,306.0000000000009,CF
642,18,37,3.637978807091713e-12,CF
643,19,37,305.9999999999999,CF
644,20,37,305.9999999999989,CF
645,21,37,3.637978807091713e-12,CF
646,22,37,305.99999999999625,CF
647,23,37,305.9999999999966,CF
648,24,37,305.99999999999596,CF
649,25,37,305.9999999999935,CF
650,26,37,305.99999999999636,CF
